###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_SgIhC_iPh16e_4402.jpg		no	0:00	0:05	0.000	5.000	5.000	Beim Hermersbergerhof im Pfälzer Wald südlich von Kaiserslautern	Wilgartswiesen	Hermersbergerhof	3.5.25 (Sa) 9:40		
QpQoQ_iPh16e_4384.jpg		no	0:05	0:10	5.000	10.000	5.000	Am Segloher Weiher nordwestlich von Oettingen	Fremdingen	Seglohe	25.4.25 (Fr) 17:17		
QpQpO_iPh16e_4387.jpg		no	0:10	0:15	10.000	15.000	5.000	Am Segloher Weiher nordwestlich von Oettingen	Fremdingen	Seglohe	25.4.25 (Fr) 17:18		
QsUpG_iPh16e_4386.jpg		no	0:15	0:20	15.000	20.000	5.000	Am Segloher Weiher nordwestlich von Oettingen	Fremdingen	Seglohe	26.4.25 (Sa) 8:42		
QsUqE_iPh16e_4385.jpg		no	0:20	0:25	20.000	25.000	5.000	Am Segloher Weiher nordwestlich von Oettingen	Fremdingen	Seglohe	26.4.25 (Sa) 8:42		
QsVaX_iPh16e_4388.jpg		no	0:25	0:30	25.000	30.000	5.000	Am Segloher Weiher nordwestlich von Oettingen	Fremdingen	Seglohe	26.4.25 (Sa) 8:47		
QsXvW_iPad9_3933.jpg		no	0:30	0:35	30.000	35.000	5.000	Am Segloher Weiher nordwestlich von Oettingen	Fremdingen	Seglohe	26.4.25 (Sa) 9:18		
QsXwE_iPad9_3934.jpg		no	0:35	0:40	35.000	40.000	5.000	Am Segloher Weiher nordwestlich von Oettingen	Fremdingen	Seglohe	26.4.25 (Sa) 9:18		
QtQuA_iPh16e_4389.jpg	x	no	0:40	0:45	40.000	45.000	5.000	Spaziergang nahe Vellberg zwischen Crailsheim und Schwäbisch Hall	Vellberg	Schneckenweiler	26.4.25 (Sa) 12:52		
QtSfE_iPh16e_4381.jpg		no	0:45	0:50	45.000	50.000	5.000	Spaziergang nahe Vellberg zwischen Crailsheim und Schwäbisch Hall	Vellberg	Schneckenweiler	26.4.25 (Sa) 13:08		
QtSnB_iPh16e_4383.jpg		no	0:50	0:55	50.000	55.000	5.000	Spaziergang nahe Vellberg zwischen Crailsheim und Schwäbisch Hall	Vellberg	Schneckenweiler	26.4.25 (Sa) 13:11		
QxUpC_iPh16e_4391.jpg	x	no	0:55	1:00	55.000	60.000	5.000	Spaziergang nahe Schöntal an der Jagst	Schöntal	Bieringen	27.4.25 (So) 9:06		
QxVhL_iPh16e_4392.jpg		no	1:00	1:05	60.000	65.000	5.000	Spaziergang nahe Schöntal an der Jagst	Schöntal	Bieringen	27.4.25 (So) 9:14		
QyKeX_iPh16e_0023.mp4		yes	1:05	1:30	65.000	90.033	25.033	Oberhalb des Neckars bei Binau in der Nähe von Mosbach	Mosbach	Binau	27.4.25 (So) 12:02		
ReAmO_iPh16e_4397.jpg		no	1:30	1:35	90.033	95.033	5.000	Spaziergang oberhalb von Weisenheim nördlich von Bad Dürkheim	Weisenheim am Berg		28.4.25 (Mo) 15:30		
RiJlV_iPh16e_4395.jpg		no	1:35	1:40	95.033	100.033	5.000	Spaziergang bei Hönigen westlich von Bad Dürkheim	Altleiningen	Höningen	29.4.25 (Di) 12:43		
RvVnB_iPh16e_0024.mp4	x	yes	1:40	2:01	100.033	120.536	20.503	Spaziergang im Pfälzer Wald südlich von Kaiserslautern	Elmstein	Iggelbach	1.5.25 (Do) 8:27		
RvWsZ_iPh16e_0025.mp4		yes	2:01	2:27	120.536	147.239	26.703	Spaziergang im Pfälzer Wald südlich von Kaiserslautern	Elmstein	Iggelbach	1.5.25 (Do) 8:41		
RyEgT_iPh7_8510.jpg		no	2:27	2:32	147.239	152.239	5.000	Spaziergang im Pfälzer Wald südlich von Kaiserslautern	Elmstein	Iggelbach	1.5.25 (Do) 17:51		
SfXqX_iPh16e_0026.mp4		yes	2:32	2:41	152.239	161.480	9.241	Beim Hermersbergerhof im Pfälzer Wald südlich von Kaiserslautern	Wilgartswiesen	Hermersbergerhof	3.5.25 (Sa) 9:40		
SgIfQ_iPh16e_4401.jpg		no	2:41	2:46	161.480	166.480	5.000	Beim Hermersbergerhof im Pfälzer Wald südlich von Kaiserslautern	Wilgartswiesen	Hermersbergerhof	3.5.25 (Sa) 9:40		
SgIhC_iPh16e_4402.jpg		no	2:46	2:51	166.480	171.480	5.000	Beim Hermersbergerhof im Pfälzer Wald südlich von Kaiserslautern	Wilgartswiesen	Hermersbergerhof	3.5.25 (Sa) 9:40		
SlGxQ_iPh16e_8511.jpg	x	no	2:51	2:56	171.480	176.480	5.000	Am Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 9:49		
SlHrC_E400_0529.jpg		no	2:56	3:01	176.480	181.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 9:58		
SlIbN_E400_0538.jpg		no	3:01	3:06	181.480	186.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:02		
SlIdS_M50_4913.jpg		no	3:06	3:11	186.480	191.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:03		
SlIeM_E400_0539.jpg		no	3:11	3:16	191.480	196.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:04		
SlIeN_M50_4914.jpg		no	3:16	3:21	196.480	201.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:04		
SlIgU_M50_4916.jpg		no	3:21	3:26	201.480	206.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:05		
SlIgX_E400_0541.jpg		no	3:26	3:31	206.480	211.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:05		
SlIjQ_M50_4917.jpg		no	3:31	3:36	211.480	216.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:06		
SlIlG_M50_4918.jpg		no	3:36	3:41	216.480	221.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:07		
SlIlO_E400_0545.jpg		no	3:41	3:46	221.480	226.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:07		
SlImA_E400_0546.jpg		no	3:46	3:51	226.480	231.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:07		
SlImV_E400_0547.jpg		no	3:51	3:56	231.480	236.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:07		
SlIpM_M50_4922.jpg		no	3:56	4:01	236.480	241.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:08		
SlIrD_M50_4924.jpg		no	4:01	4:06	241.480	246.480	5.000	Im Japanischen Garten in Kaiserslautern	Kaiserslautern	Japanischer Garten	4.5.25 (So) 10:09		
