###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1
000_DgVqT_iPh16e_5283.jpg		no	0:00	0:05	0	5	5	In Bindernheim südlich von Straßburg	Bindernheim		26.3.26 (Do) 16:16		
ClStG_iPh16e_5264.jpg		no	0:05	0:10	5	10	5	Zum Start ein gutes Frühstück	Horgau	Herpfenried	22.3.26 (So) 9:11		
ClSuD_iPh16e_5265.jpg		no	0:10	0:15	10	15	5	Zum Start ein gutes Frühstück	Horgau	Herpfenried	22.3.26 (So) 9:12		
CnSaG_iPh16e_5267.jpg	x	no	0:15	0:20	15	20	5	Abendstimmung beim Militärmuseum in Hatten im Elsaß	Hatten		22.3.26 (So) 18:49		
CqFzC_iPad11_4693.jpg		no	0:20	0:25	20	25	5	Warten aufs Gassi beim Militärmuseum in Hatten im Elsaß	Hatten		23.3.26 (Mo) 7:12		
CrXpX_iPad11_4696.jpg	x	no	0:25	0:30	25	30	5	Herrchen schraubt am Wohnmobil, Tommy ist entspannt	Drachenbronn		23.3.26 (Mo) 15:24		
CsKvP_iPad11_4697.jpg		no	0:30	0:35	30	35	5	Herrchen schraubt am Wohnmobil, Tommy ist entspannt	Drachenbronn		23.3.26 (Mo) 17:53		
CwSdR_iPh16e_5268.jpg	x	no	0:35	0:40	35	40	5	Spaziergang an der Grenze Elsaß zu Pfalz bei Wissembourg	Wissembourg	St. Germain	24.3.26 (Di) 14:47		
CwSeN_iPh16e_5269.jpg		no	0:40	0:45	40	45	5	Spaziergang an der Grenze Elsaß zu Pfalz bei Wissembourg	Wissembourg	St. Germain	24.3.26 (Di) 14:47		
DfGjP_iPh16e_0086.mp4	x	yes	0:45	1:18	45	78.367	33.367	In Drusenheim am Rhein, an der Grenze	Drusenheim		26.3.26 (Do) 8:31		
DfGnB_iPh16e_0087.mp4		yes	1:18	1:45	78.367	105.375	27.008	In Drusenheim am Rhein, an der Grenze	Drusenheim		26.3.26 (Do) 8:32		
DfHxC_iPh16e_5271.jpg		no	1:45	1:50	105.375	110.375	5	In Drusenheim am Rhein, an der Grenze	Drusenheim		26.3.26 (Do) 8:48		
DfIsZ_iPh16e_5274.jpg		no	1:50	1:55	110.375	115.375	5	In Drusenheim am Rhein, an der Grenze	Drusenheim		26.3.26 (Do) 8:57		
DfIuF_iPh16e_5275.jpg		no	1:55	2:00	115.375	120.375	5	In Drusenheim am Rhein, an der Grenze	Drusenheim		26.3.26 (Do) 8:58		
DfJfO_iPh16e_5276.jpg		no	2:00	2:05	120.375	125.375	5	In Drusenheim am Rhein, an der Grenze	Drusenheim		26.3.26 (Do) 9:03		
DgVmZ_iPh16e_5281.jpg	x	no	2:05	2:10	125.375	130.375	5	In Bindernheim südlich von Straßburg	Bindernheim		26.3.26 (Do) 16:14		
DgVoJ_iPh16e_5282.jpg		no	2:10	2:15	130.375	135.375	5	In Bindernheim südlich von Straßburg	Bindernheim		26.3.26 (Do) 16:15		
DgVqT_iPh16e_5283.jpg		no	2:15	2:20	135.375	140.375	5	In Bindernheim südlich von Straßburg	Bindernheim		26.3.26 (Do) 16:16		
DhFsY_iPh16e_5284.jpg		no	2:20	2:25	140.375	145.375	5	In Bindernheim südlich von Straßburg	Bindernheim		26.3.26 (Do) 18:09		
DhHgN_iPh16e_5286.jpg		no	2:25	2:30	145.375	150.375	5	In Bindernheim südlich von Straßburg	Bindernheim		26.3.26 (Do) 18:26		
DhHvY_iPh16e_5287.jpg		no	2:30	2:35	150.375	155.375	5	Die Sonne wirft lange Schatten	Bindernheim		26.3.26 (Do) 18:33		
DkCsQ_iPh16e_5288.jpg		no	2:35	2:40	155.375	160.375	5	In Bindernheim südlich von Straßburg	Bindernheim		27.3.26 (Fr) 8:14		
DlJvV_iPh16e_5294.jpg	x	no	2:40	2:45	160.375	165.375	5	In Hirtzbach im südlichen Elsaß (Sudgau)	Hirtzbach		27.3.26 (Fr) 14:27		
DlJzE_iPh16e_5296.jpg		no	2:45	2:50	165.375	170.375	5	In Hirtzbach im südlichen Elsaß (Sudgau)	Hirtzbach		27.3.26 (Fr) 14:29		
